runtime,config,config_description,pods,cpu_per_pod_m,total_cpu_m,concurrency,target_rps,achieved_rps,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,total_requests,result_dir,avg_cpu_percent,avg_memory_percent,avg_pod_count,latency_per_cpu
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,160.0,157.7,14.859903720143732,11.1715,35.65349999999988,60.66020999999986,4.239,212.711,9462,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,14.859903720143732
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,180.0,185.45,14.980049339444594,11.787,33.9131,53.65793999999994,4.61,207.217,11127,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,14.980049339444594
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,200.0,181.53,17.56491297163316,13.329,42.3106,69.83371999999999,4.722,179.564,10893,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,17.56491297163316
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,220.0,219.0,19.8838892694064,15.4115,47.76525,75.60218000000008,4.882,346.492,13140,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,19.8838892694064
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,240.0,215.13,20.79969979857453,16.0675,48.53725,84.29667000000008,5.121,261.951,12908,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,20.79969979857453
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,260.0,256.97,29.51642266035411,23.487,70.80789999999982,110.13799999999998,5.192,297.926,15419,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,29.51642266035411
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,280.0,248.68,34.29390148113397,27.817,80.012,118.44359999999976,6.052,198.127,14921,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,34.29390148113397
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,300.0,259.79,26.38243469335386,20.6425,63.2539,103.50109999999988,5.077,269.164,15588,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,26.38243469335386
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,20.0,20.0,10.779954166666666,8.773,19.1827,29.379279999999994,6.085,206.708,1200,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,10.779954166666666
python,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,40.0,40.0,10.074019166666666,8.5515,18.43399999999999,28.6331,5.073,109.224,2400,results_fibonacci_python_b3,81.10933333333332,42.881510416666664,8.0,10.074019166666666
