rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
220,60,fibonacci_nodejs_b2,3,14127.666666666666,120.98071471657512,14030,14263,3126.6666666666665,152.10632246337866,3021,3301,211435.0,42156.25453002199,168109,252315,13328.53105006557,977.2945504026935,12327.918390240482,14280.706129722024,8635.333333333334,364.74043281946865,8282.0,9010.5,37661.71666666666,4145.403677669202,34111.59999999999,42217.399999999994,77104.11666666665,9262.476017838533,66605.47999999997,84121.89000000006,235.4611111111111,2.0163452452762476,233.83333333333334,237.71666666666667,14127.666666666666,3126.6666666666665,211435.0,13328.53105006557,8635.333333333334,37661.71666666666,77104.11666666665,235.4611111111111
240,60,fibonacci_nodejs_b2,3,14145.666666666666,63.10573138260369,14076,14199,3235.6666666666665,74.62796616104,3175,3319,253464.33333333334,96175.95516725234,195689,364488,14089.394632341762,483.8803580337405,13710.997246151674,14634.61546587788,9119.666666666666,97.31563766082681,9061.0,9232.0,40089.733333333315,1954.0627051948,38594.649999999994,42300.799999999945,76596.68333333339,5992.2471818371105,71195.46999999996,83042.58000000019,235.7611111111111,1.051762189710067,234.6,236.65,14145.666666666666,3235.6666666666665,253464.33333333334,14089.394632341762,9119.666666666666,40089.733333333315,76596.68333333339,235.7611111111111
260,60,fibonacci_nodejs_b2,3,17367.666666666668,141.54975568093832,17207,17474,3198.0,33.71943060017473,3161,3227,520540.6666666667,274413.40855784237,355945,837325,30733.030622018774,2584.9410962621414,27988.116744878105,33120.872377520776,17953.166666666668,1242.9213906491968,16566.5,18967.0,93480.23333333334,9254.308999640829,84184.34999999998,102692.39999999997,197396.2500000002,29064.23095155022,171331.74000000095,228737.25999999925,289.46111111111117,2.3591625946822976,286.78333333333336,291.23333333333335,17367.666666666668,3198.0,520540.6666666667,30733.030622018774,17953.166666666668,93480.23333333334,197396.2500000002,289.46111111111117
280,60,fibonacci_nodejs_b2,3,17231.333333333332,207.47369311152036,17094,17470,3643.6666666666665,90.27919657004782,3569,3744,281236.3333333333,14170.662028759747,269430,296951,31484.13881112306,2402.2597636291994,28710.26788780767,32880.132282545244,20266.5,1146.1846491730728,19052.5,21330.0,92285.5166666666,10104.57718614852,80918.79999999996,100249.4,162738.8899999999,17621.08352423011,142444.07000000012,174148.36,287.1888888888889,3.4578948851920246,284.9,291.1666666666667,17231.333333333332,3643.6666666666665,281236.3333333333,31484.13881112306,20266.5,92285.5166666666,162738.8899999999,287.1888888888889
300,60,fibonacci_nodejs_b2,3,17091.0,105.47037498748168,17013,17211,3519.3333333333335,98.43441132720474,3416,3612,385470.0,13569.645279077859,370299,396449,32627.18730777531,1242.162609785222,31274.535239091278,33716.69276435667,20972.0,1097.788230944384,19945.0,22129.0,97233.66666666664,4549.284415524404,91987.0,100081.39999999998,168311.06000000008,9413.784580475542,159799.90000000014,178422.36000000004,284.84999999999997,1.757839583124708,283.55,286.85,17091.0,3519.3333333333335,385470.0,32627.18730777531,20972.0,97233.66666666664,168311.06000000008,284.84999999999997
320,60,fibonacci_nodejs_b2,3,17054.333333333332,4.041451884327381,17050,17058,3475.3333333333335,169.47664539202248,3299,3637,542043.0,206352.2936654691,396823,778252,33694.60639973893,1157.3452334267438,32501.139706744867,34812.085297221245,19642.0,494.55737786428784,19349.0,20213.0,105228.88333333329,9547.650351569951,96970.74999999991,115683.29999999997,221127.8699999994,51070.639417387116,181466.359999999,278753.2500000003,284.2388888888889,0.06735753140545134,284.1666666666667,284.3,17054.333333333332,3475.3333333333335,542043.0,33694.60639973893,19642.0,105228.88333333329,221127.8699999994,284.2388888888889
340,60,fibonacci_nodejs_b2,3,19831.666666666668,118.1115292142699,19724,19958,3860.6666666666665,318.98641559372606,3676,4229,697820.0,154011.69333203242,540657,848474,69130.45722080367,7742.309448802875,60193.37358452751,73798.39226770302,44424.833333333336,4181.990624491324,39759.0,47835.5,226179.11666666646,35580.95981407518,186545.5999999998,255370.99999999974,374163.3066666668,56122.81832380248,309834.0200000001,413116.02,330.52777777777777,1.9685254869044895,328.73333333333335,332.6333333333333,19831.666666666668,3860.6666666666665,697820.0,69130.45722080367,44424.833333333336,226179.11666666646,374163.3066666668,330.52777777777777
360,60,fibonacci_nodejs_b2,3,20044.333333333332,95.32226042920578,19935,20110,3834.3333333333335,217.68172484922414,3583,3963,647972.3333333334,35940.479077682496,613268,685033,67372.65767144288,2640.13217534148,65300.066516177576,70345.07626443647,44558.0,1345.647427820527,43017.0,45501.0,213034.66666666642,17168.331559103957,199235.8,232260.69999999952,365796.30333333346,27771.535691967812,337266.39999999997,392741.6200000003,334.07222222222225,1.5887043404867722,332.25,335.1666666666667,20044.333333333332,3834.3333333333335,647972.3333333334,67372.65767144288,44558.0,213034.66666666642,365796.30333333346,334.07222222222225
380,60,fibonacci_nodejs_b2,3,19778.333333333332,151.14341974870536,19670,19951,3643.3333333333335,416.5781239255529,3280,4098,816846.6666666666,127161.55967246287,712595,958520,77540.12406309595,13344.160509518484,68678.31321738259,92887.43233235265,45301.833333333336,2828.6857519585546,42055.0,47233.5,286153.1166666664,97282.10556354006,228218.5,398466.04999999923,462032.54000000004,162201.72271421188,359774.6900000001,649054.4299999999,329.63888888888886,2.519056995811755,327.8333333333333,332.51666666666665,19778.333333333332,3643.3333333333335,816846.6666666666,77540.12406309595,45301.833333333336,286153.1166666664,462032.54000000004,329.63888888888886
400,60,fibonacci_nodejs_b2,3,20070.333333333332,111.1590452160027,19943,20148,3760.0,379.1424534393372,3387,4145,701244.6666666666,206630.5803465047,467893,861007,68163.02639659827,5341.501057846398,62042.2911297197,71882.24408548708,44429.0,651.7428557337626,43806.5,45106.5,217874.3833333332,28812.749278502262,184668.49999999985,236266.5999999998,376561.3266666665,79869.84533496379,284356.45999999915,424363.5000000009,334.50555555555553,1.8526507536000492,332.3833333333333,335.8,20070.333333333332,3760.0,701244.6666666666,68163.02639659827,44429.0,217874.3833333332,376561.3266666665,334.50555555555553
420,60,fibonacci_nodejs_b2,3,19746.666666666668,176.10318944679375,19557,19905,4005.0,204.90973622549026,3827,4229,882410.0,189555.21506146961,683278,1060659,77102.90830992737,3380.8282039922683,73261.91328811857,79627.61379557192,45567.666666666664,1105.7379134918606,44734.0,46822.0,276452.41666666674,17727.343709671703,256508.39999999997,290416.4000000002,447404.57999999967,54242.70609181298,405297.03999999963,508614.1399999997,329.1111111111111,2.935053157446568,325.95,331.75,19746.666666666668,4005.0,882410.0,77102.90830992737,45567.666666666664,276452.41666666674,447404.57999999967,329.1111111111111
440,60,fibonacci_nodejs_b2,3,19906.0,113.64858116140297,19786,20012,3816.0,95.9218431849597,3712,3901,716688.0,108434.65959277043,593099,795872,74045.9851699019,7897.908018682245,64943.71777108434,79085.4806428788,46685.0,1946.6442921088587,45145.0,48873.0,252100.68333333326,44604.588672644866,202041.3499999999,287624.0,400116.5500000001,72398.71241979982,318508.7800000003,456627.20000000007,331.76666666666665,1.8941430193567366,329.76666666666665,333.53333333333336,19906.0,3816.0,716688.0,74045.9851699019,46685.0,252100.68333333326,400116.5500000001,331.76666666666665
460,60,fibonacci_nodejs_b2,3,19720.0,83.45058418010026,19642,19808,4008.6666666666665,439.5501488264261,3573,4452,1075784.6666666667,189743.3122124027,859128,1212352,79304.64353602804,4369.979269324025,75708.10999492643,84168.10665919968,46063.333333333336,789.9589124336362,45381.5,46929.0,282011.2166666665,19109.186233742184,270224.1499999999,304059.0000000001,547348.5666666668,76270.77396177479,493462.6600000002,634619.4800000002,328.6666666666667,1.3908430696683303,327.3666666666667,330.1333333333333,19720.0,4008.6666666666665,1075784.6666666667,79304.64353602804,46063.333333333336,282011.2166666665,547348.5666666668,328.6666666666667
480,60,fibonacci_nodejs_b2,3,19749.666666666668,193.25199438384413,19622,19972,3522.0,142.96503068932626,3435,3687,823577.6666666666,100713.90755170476,710796,904535,72773.81798596999,1786.4704553324323,70863.47261165633,74403.09163062833,45503.666666666664,732.6270083291588,44820.0,46277.0,242443.7833333333,11873.604166630757,230904.60000000003,254625.69999999987,420583.95666666684,73773.45733882213,365598.41000000003,504423.55999999994,329.1611111111111,3.2208665730640695,327.03333333333336,332.8666666666667,19749.666666666668,3522.0,823577.6666666666,72773.81798596999,45503.666666666664,242443.7833333333,420583.95666666684,329.1611111111111
500,60,fibonacci_nodejs_b2,3,19574.0,483.5628190835189,19173,20111,3844.6666666666665,455.2025190322801,3348,4242,659173.0,129931.69582130451,538635,796806,71090.38070468912,5316.431800774433,66071.29684123881,76661.13889323529,44906.5,1224.3260390925286,43733.0,46176.0,238782.18333333312,39037.664406004355,204196.04999999984,281110.99999999953,384127.3900000003,84840.7770745357,314341.0900000004,478563.48,326.23333333333335,8.059380318058649,319.55,335.18333333333334,19574.0,3844.6666666666665,659173.0,71090.38070468912,44906.5,238782.18333333312,384127.3900000003,326.23333333333335
