min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
4216,30014026,9366040.972438963,9981962.0,17814990.25,18479391.7,5653212.906326497,132.43333333333334,132.43333333333334,7946,target_rps200.00_iter03_rps132.33_lat.csv
4874,30059930,13881761.083689597,14488265.0,26113889.4,27089411.2,7974459.990336815,128.65,128.65,7719,target_rps220.00_iter01_rps127.95_lat.csv
5060,30181331,13913467.053706406,14036145.0,25448851.0,26492792.2,8024865.948025751,125.68333333333334,125.68333333333334,7541,target_rps220.00_iter02_rps125.08_lat.csv
5568,30151875,17169147.56828066,14520024.0,30015858.15,30052462.0,11205723.205765164,114.96666666666667,114.96666666666667,6898,target_rps220.00_iter03_rps69.12_lat.csv
1471,473973,51025.78823099415,36070.5,140673.79999999996,210333.2999999998,50775.561947578295,228.0,228.0,13680,target_rps240.00_iter01_rps133.07_lat.csv
1628,468977,43441.696275881564,23690.0,106054.5,173427.0,44243.022250141155,235.85,235.85,14151,target_rps240.00_iter02_rps133.98_lat.csv
1632,303845,42410.378730292796,24195.0,102465.9,168835.90000000008,41495.855579859424,236.8,236.8,14208,target_rps240.00_iter03_rps138.83_lat.csv
1597,1626104,69341.84462829314,12865.0,173425.59999999998,1071498.3799999957,171528.50332005674,284.05,284.05,17043,target_rps260.00_iter01_rps126.98_lat.csv
6699,31534991,18058182.41310574,19371334.0,30103294.6,31031777.04,10102046.394198248,145.48333333333332,145.48333333333332,8729,target_rps260.00_iter02_rps123.18_lat.csv
4570,30246131,14239508.234780341,14382750.0,26033438.5,27283800.8,8019440.68157226,127.85,127.85,7671,target_rps260.00_iter03_rps127.42_lat.csv
6281,30207149,18093540.12023728,19502460.5,30007369.5,30041134.75,9956117.819754468,146.1,146.1,8766,target_rps280.00_iter01_rps124.45_lat.csv
6572,30438843,17061715.324611206,17999744.0,30043182.6,30205394.79,9429523.73941939,135.03333333333333,135.03333333333333,8102,target_rps280.00_iter02_rps125.35_lat.csv
5005,30300268,17296626.61036809,17777509.0,30048778.6,30149814.560000002,10036193.523970315,140.81666666666666,140.81666666666666,8449,target_rps280.00_iter03_rps123.55_lat.csv
5434,30190428,18341122.721424535,19277220.0,30007458.8,30037103.919999998,9828064.328786844,147.41666666666666,147.41666666666666,8845,target_rps300.00_iter01_rps122.72_lat.csv
6550,30176337,14972399.166728556,15194677.0,27836271.4,28757906.180000003,8261479.985269552,134.65,134.65,8079,target_rps300.00_iter02_rps134.05_lat.csv
5715,30452131,16957557.60347441,17571726.0,30049185.2,30152042.52,9681644.19096809,142.95,142.95,8577,target_rps300.00_iter03_rps132.05_lat.csv
