timestamp,rps_test_running,pod_count,pod_names,cpu_usage_millicores,memory_usage_mib,cpu_limit_millicores,memory_limit_mib,cpu_request_millicores,memory_request_mib,pods_ready,pods_pending,pods_failed,scaling_events,avg_latency_ms
2025-07-27T12:41:43.802555,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,171,54,0,0,0,0,1,0,0,,
2025-07-27T12:41:46.730554,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,171,54,0,0,0,0,1,0,0,,
2025-07-27T12:41:49.614579,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,171,54,0,0,0,0,1,0,0,,
2025-07-27T12:41:52.580659,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,171,54,0,0,0,0,1,0,0,,
2025-07-27T12:41:55.633069,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,171,54,0,0,0,0,1,0,0,,
2025-07-27T12:41:58.632668,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,166,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:01.724914,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,166,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:04.698118,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,166,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:07.743109,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,166,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:10.619994,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,166,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:13.594793,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,161,53,0,0,0,0,1,0,0,,
2025-07-27T12:42:16.714716,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,161,53,0,0,0,0,1,0,0,,
2025-07-27T12:42:19.757088,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,161,53,0,0,0,0,1,0,0,,
2025-07-27T12:42:22.702537,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,161,53,0,0,0,0,1,0,0,,
2025-07-27T12:42:25.706572,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,200,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:29.038628,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,200,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:32.311243,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,200,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:35.400194,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,200,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:38.450562,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,200,54,0,0,0,0,1,0,0,,
2025-07-27T12:42:41.523005,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,213,54,0,0,0,0,1,0,0,,
