runtime,config,config_description,pods,cpu_per_pod_m,total_cpu_m,concurrency,target_rps,achieved_rps,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,total_requests,result_dir,avg_cpu_percent,avg_memory_percent,avg_pod_count
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,180.0,95.13,7.714939476219673,6.543,19.719999999999946,33.497960000000006,1.065,142.064,11417,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,200.0,94.68,7.857333069341781,6.591,20.535850000000007,34.95126000000008,1.038,92.887,11364,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,220.0,115.01,8.503024632326305,6.668,22.576799999999995,40.31898,1.015,257.385,13803,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,240.0,114.48,9.524707620641967,6.776,26.23869999999999,65.06337999999991,1.084,159.877,13739,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,260.0,135.7,17.634590772440028,10.382,60.52909999999992,113.1173600000001,1.102,262.51,16299,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,280.0,139.22,16.917053813001317,9.442,59.77125,125.14580000000004,1.043,334.425,16706,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,300.0,141.18,16.654046093012276,9.1025,60.517999999999766,116.71724999999996,0.968,320.026,16944,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,20.0,10.0,7.505882499999999,7.223,17.494799999999998,28.455929999999988,1.653,56.896,1200,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,40.0,20.0,6.764024999999999,6.779,15.506299999999982,24.32422999999997,1.273,43.906,2400,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,60.0,31.22,6.635380037363224,6.664,14.507099999999998,24.53036,1.062,62.862,3747,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,80.0,41.38,6.889165894906382,6.713,16.030799999999996,25.55564000000003,1.096,99.439,4967,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,100.0,49.7,6.447669572506286,6.336,15.117800000000004,25.18539999999996,1.058,67.264,5965,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,120.0,61.33,7.149266096169519,6.324,18.54625,36.37247000000006,1.022,82.759,7362,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,140.0,69.75,6.5285661211324815,6.072,15.9315,25.235399999999835,1.019,103.223,8371,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,160.0,80.97,6.608855510960173,6.062,15.878399999999996,27.12556000000002,0.997,100.777,9717,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,180.0,94.23,8.731872314086125,6.499,23.870200000000004,53.03936000000001,1.104,212.033,11309,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
python,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,200.0,95.3,7.178943866398531,6.168,17.888199999999998,30.11864,0.96,151.918,11437,results_fibonacci_python_b3,42.965648854961835,21.4541835639313,4.0
